,budget,company,country,director,genre,gross,name,rating,star,year
0,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,Wil Wheaton,1986
1,6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,Matthew Broderick,1986
2,15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,Tom Cruise,1986
3,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,Sigourney Weaver,1986
4,9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,Joey Cramer,1986
5,6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,Charlie Sheen,1986
6,25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,David Bowie,1986
7,6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,Isabella Rossellini,1986
8,9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,Molly Ringwald,1986
9,15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,Jeff Goldblum,1986
10,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,Paul Hogan,1986
11,16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,Christopher Lambert,1986
12,6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,Corey Haim,1986
13,25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,Kurt Russell,1986
14,15000000,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,William Petersen,1986
15,17000000,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9Ω Weeks,R,Mickey Rourke,1986
16,10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,Emilio Estevez,1986
17,25000000,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,Rick Moranis,1986
18,2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,Charlie Sheen,1986
19,35000000,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,Lea Thompson,1986
20,2000000,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,Dee Wallace,1986
21,11000000,Orion Pictures,USA,Alan Metter,Comedy,91258000,Back to School,PG-13,Rodney Dangerfield,1986
22,4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,Dennis Hopper,1986
23,15000000,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,Clint Eastwood,1986
24,25000000,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,William Shatner,1986
